sample_id,cluster_label
0,8
1,6
2,7
3,4
4,8
5,6
6,1
7,8
8,4
9,4
10,8
11,7
12,1
13,6
14,0
15,0
16,1
17,6
18,5
19,8
20,0
21,8
22,4
23,1
24,8
25,6
26,1
27,8
28,4
29,4
30,6
31,1
32,4
33,6
34,4
35,8
36,8
37,8
38,8
39,0
40,0
41,1
42,6
43,1
44,8
45,6
46,6
47,8
48,0
49,4
50,1
51,1
52,1
53,6
54,8
55,4
56,1
57,4
58,6
59,4
60,4
61,4
62,4
63,6
64,8
65,8
66,1
67,6
68,1
69,6
70,8
71,8
72,4
73,1
74,6
75,8
76,6
77,4
78,8
79,8
80,0
81,1
82,0
83,6
84,8
85,6
86,4
87,0
88,1
89,1
90,7
91,0
92,1
93,1
94,7
95,7
96,8
97,0
98,1
99,1
100,8
101,0
102,4
103,6
104,6
105,6
106,1
107,4
108,4
109,6
110,6
111,8
112,4
113,8
114,6
115,8
116,8
117,9
118,1
119,1
120,1
121,1
122,6
123,6
124,8
125,6
126,4
127,1
128,7
129,6
130,8
131,0
132,4
133,4
134,1
135,6
136,8
137,6
138,1
139,4
140,7
141,6
142,8
143,4
144,2
145,8
146,8
147,8
148,8
149,4
150,8
151,8
152,0
153,6
154,4
155,8
156,1
157,1
158,8
159,6
160,6
161,8
162,8
163,6
164,0
165,1
166,7
167,5
168,7
169,8
170,1
171,4
172,6
173,4
174,0
175,5
176,0
177,7
178,4
179,1
180,1
181,8
182,4
183,1
184,6
185,4
186,8
187,6
188,8
189,1
190,6
191,1
192,8
193,6
194,0
195,4
196,1
197,8
198,6
199,4
200,1
201,8
202,4
203,8
204,6
205,4
206,1
207,4
208,1
209,1
210,1
211,1
212,8
213,6
214,6
215,8
216,4
217,8
218,4
219,7
220,8
221,8
222,6
223,8
224,8
225,4
226,8
227,8
228,6
229,8
230,6
231,4
232,6
233,4
234,8
235,4
236,0
237,6
238,4
239,6
240,4
241,8
242,8
243,1
244,1
245,6
246,4
247,4
248,0
249,0
250,1
251,1
252,8
253,1
254,1
255,0
256,4
257,8
258,4
259,7
260,5
261,8
262,4
263,8
264,8
265,7
266,1
267,1
268,8
269,6
270,1
271,8
272,6
273,4
274,1
275,7
276,4
277,4
278,7
279,7
280,6
281,1
282,8
283,8
284,7
285,8
286,4
287,1
288,4
289,8
290,6
291,8
292,1
293,4
294,4
295,7
296,8
297,8
298,4
299,4
300,7
301,1
302,7
303,8
304,8
305,8
306,6
307,8
308,1
309,4
310,6
311,8
312,1
313,6
314,1
315,0
316,4
317,6
318,1
319,9
320,8
321,1
322,8
323,7
324,7
325,4
326,8
327,6
328,8
329,6
330,8
331,1
332,1
333,6
334,6
335,0
336,1
337,7
338,4
339,8
340,1
341,1
342,8
343,5
344,8
345,1
346,8
347,4
348,1
349,1
350,4
351,1
352,1
353,7
354,0
355,6
356,8
357,6
358,6
359,4
360,6
361,8
362,8
363,1
364,6
365,6
366,8
367,7
368,6
369,0
370,1
371,4
372,9
373,8
374,6
375,1
376,0
377,1
378,6
379,8
380,4
381,6
382,0
383,4
384,4
385,0
386,4
387,0
388,6
389,8
390,6
391,1
392,4
393,4
394,8
395,4
396,0
397,8
398,0
399,8
400,4
401,6
402,4
403,9
404,1
405,1
406,4
407,4
408,8
409,4
410,8
411,1
412,8
413,4
414,5
415,1
416,8
417,8
418,8
419,1
420,7
421,1
422,4
423,8
424,1
425,8
426,7
427,1
428,8
429,8
430,8
431,6
432,8
433,7
434,8
435,6
436,4
437,4
438,4
439,4
440,0
441,6
442,1
443,7
444,6
445,8
446,4
447,0
448,7
449,0
450,8
451,1
452,4
453,6
454,1
455,0
456,6
457,8
458,4
459,4
460,8
461,6
462,0
463,4
464,4
465,0
466,1
467,7
468,0
469,0
470,8
471,8
472,8
473,8
474,1
475,1
476,7
477,8
478,1
479,4
480,4
481,0
482,4
483,6
484,4
485,8
486,6
487,6
488,4
489,1
490,1
491,8
492,0
493,6
494,4
495,8
496,6
497,4
498,1
499,6
500,0
501,1
502,7
503,1
504,6
505,1
506,8
507,3
508,8
509,8
510,1
511,1
